time, StatePelvisPosX, StatePelvisPosZ, StatePelvisRotY, StateHipRotY, StateKneeRotY, StateAnkleRotY, StateMiddleTrunkRotY, StateLShoulderRotY, StateLElbowRotY, StateRShoulderRotY, StateRElbowRotY, StateHeadRotY, StatePelvisVelX, StatePelvisVelZ, StatePelvisRotVelY, StateHipRotVelY, StateKneeRotVelY, StateAnkleRotVelY, StateMiddleTrunkRotVelY, StateLShoulderRotVelY, StateLElbowRotVelY, StateRShoulderRotVelY, StateRElbowRotVelY, StateHeadRotVelY, StateHipTorque, StateKneeTorque, StateAnkleTorque, StateMiddleTrunkTorque, StateShoulderTorque, StateElbowTorque, StateHeadTorque, ControlHipDTorque, ControlKneeDTorque, ControlAnkleDTorque, ControlMiddleTrunkDTorque, ControlShoulderDTorque, ControlElbowDTorque, ControlHeadDTorque, TauPelvisPosX, TauPelvisPosZ, TauPelvisRotY, Tauleg_3_joint, Tauleg_4_joint, Tauleg_5_joint, Tautorso_2_joint, Tauarm_1_joint, Tauarm_4_joint, Tauarm_1_joint, Tauarm_4_joint, Tauhead_2_joint, Heel_Fx, Heel_Fy, Heel_Fz, Toe_Fx, Toe_Fy, Toe_Fz, CoP, Hand_x, Hand_y, Hand_z, Box_Hand_Fx, Box_Hand_Fz, Box_Hand_Ty, Phase
0, -0.0563343, 0.641817, 0.1, -1.32415, 1.59061, -0.366454, 0.1, 0.23, 1, 0.23, 1, 0.03, 3.67273e-18, 4.07378e-18, 9.72475e-18, -1.50609e-18, -5.24033e-19, 1.20222e-18, 2.20256e-18, 1.60885e-18, 1.78798e-18, -3.88751e-19, 7.86176e-19, -8.21379e-19, 30.273, -0.549543, 1.20106, -16.7209, 0.342056, 3.8693, -1.12798, -4.00661, -0.911086, -2.33545, -8.00506, -0.974839, 4.85326, 9.06215, 4.65454e-310, 0, 0, 30.273, -0.549543, 1.20106, -16.7209, 0.171028, 1.93465, 0.171028, 0, 0, 7.01496, 0, 85.9773, 0, 0, 43.0135, 1.93011e-05, 0, 0, 0, 0, 0, 0, 0
0.000363814, -0.0563343, 0.641817, 0.0999999, -1.32415, 1.59061, -0.366454, 0.100001, 0.23, 1, 0.23, 1, 0.029996, -7.98825e-05, 8.01497e-06, -0.00055935, 0.00055935, -9.01565e-19, 1.03122e-18, 0.00299141, -0.00175001, 8.25793e-05, -0.00175769, 9.15298e-05, -0.0220903, 30.2716, -0.549881, 1.20022, -16.7238, 0.34169, 3.87108, -1.12466, -3.74469, -0.944112, -2.29036, -8.06825, -1.04049, 4.9365, 9.16972, 4.65454e-310, 0, 0, 30.2716, -0.549881, 1.20022, -16.7238, 0.170845, 1.93554, 0.170845, 0, 0, 7.00877, 0, 85.9642, 0, 0, 43.0058, 1.83945e-05, 0, 0, 0, 0, 0, 0, 0
0.000727628, -0.0563343, 0.641817, 0.0999996, -1.32415, 1.59061, -0.366454, 0.100002, 0.229999, 1, 0.229999, 1, 0.0299839, -0.000159154, 1.59686e-05, -0.00111442, 0.00111442, 3.17404e-18, -2.46126e-18, 0.00596988, -0.00350596, 0.000163257, -0.00352132, 0.000181148, -0.0440865, 30.2703, -0.55023, 1.1994, -16.7268, 0.341299, 3.87289, -1.12131, -3.48277, -0.977138, -2.24526, -8.13144, -1.10615, 5.01973, 9.2773, 4.65454e-310, 0, 0, 30.2703, -0.55023, 1.1994, -16.7268, 0.17065, 1.93644, 0.17065, 0, 0, 7.00272, 0, 85.9515, 0, 0, 42.9983, 1.74811e-05, 0, 0, 0, 0, 0, 0, 0
0.00109144, -0.0563344, 0.641817, 0.0999991, -1.32415, 1.59061, -0.366454, 0.100005, 0.229997, 1, 0.229997, 1, 0.0299639, -0.000237812, 2.38606e-05, -0.0016652, 0.0016652, 2.78981e-18, -1.00854e-17, 0.00893537, -0.00526788, 0.00024205, -0.00529091, 0.000268872, -0.0659878, 30.2691, -0.550592, 1.19859, -16.7298, 0.340885, 3.87473, -1.11791, -3.22085, -1.01016, -2.20017, -8.19463, -1.1718, 5.10297, 9.38487, 4.65454e-310, 0, 0, 30.2691, -0.550592, 1.19859, -16.7298, 0.170442, 1.93737, 0.170442, 0, 0, 6.99683, 0, 85.9393, 0, 0, 42.991, 1.65617e-05, 0, 0, 0, 0, 0, 0, 0
0.00145526, -0.0563345, 0.641817, 0.0999984, -1.32415, 1.59061, -0.366454, 0.100009, 0.229995, 1, 0.229995, 1, 0.0299359, -0.00031586, 3.16912e-05, -0.0022117, 0.0022117, -1.23308e-18, -1.28004e-17, 0.0118879, -0.00703577, 0.000318985, -0.00706647, 0.000354727, -0.0877935, 30.268, -0.550966, 1.1978, -16.7327, 0.340446, 3.8766, -1.11448, -2.95894, -1.04319, -2.15508, -8.25782, -1.23745, 5.18621, 9.49245, 4.65454e-310, 0, 0, 30.268, -0.550966, 1.1978, -16.7327, 0.170223, 1.9383, 0.170223, 0, 0, 6.99108, 0, 85.9275, 0, 0, 42.9839, 1.56368e-05, 0, 0, 0, 0, 0, 0, 0
0.00181907, -0.0563346, 0.641817, 0.0999975, -1.32415, 1.59061, -0.366454, 0.100014, 0.229992, 1, 0.229992, 1, 0.0299, -0.000393298, 3.94604e-05, -0.00275394, 0.00275394, -5.87621e-18, -5.10718e-18, 0.0148274, -0.00880964, 0.00039409, -0.00884801, 0.000438742, -0.109503, 30.2669, -0.551351, 1.19702, -16.7358, 0.339984, 3.8785, -1.11101, -2.69702, -1.07622, -2.10998, -8.32101, -1.30311, 5.26944, 9.60002, 4.65454e-310, 0, 0, 30.2669, -0.551351, 1.19702, -16.7358, 0.169992, 1.93925, 0.169992, 0, 0, 6.98547, 0, 85.9161, 0, 0, 42.977, 1.47072e-05, 0, 0, 0, 0, 0, 0, 0
0.00218288, -0.0563348, 0.641817, 0.0999964, -1.32415, 1.59061, -0.366454, 0.100019, 0.229988, 1, 0.229988, 1, 0.0298562, -0.000470127, 4.71683e-05, -0.00329191, 0.00329191, -9.76054e-18, 3.20035e-18, 0.0177539, -0.0105895, 0.000467392, -0.0106355, 0.000520944, -0.131115, 30.266, -0.551749, 1.19626, -16.7388, 0.339498, 3.88044, -1.10749, -2.4351, -1.10924, -2.06489, -8.3842, -1.36876, 5.35268, 9.7076, 4.65454e-310, 0, 0, 30.266, -0.551749, 1.19626, -16.7388, 0.169749, 1.94022, 0.169749, 0, 0, 6.98001, 0, 85.9052, 0, 0, 42.9704, 1.37733e-05, 0, 0, 0, 0, 0, 0, 0
0.0025467, -0.056335, 0.641817, 0.0999951, -1.32415, 1.59061, -0.366454, 0.100026, 0.229984, 1, 0.229984, 1, 0.0298046, -0.000546348, 5.4815e-05, -0.00382562, 0.00382562, -1.05271e-17, 8.44332e-18, 0.0206674, -0.0123753, 0.000538917, -0.012429, 0.000601358, -0.15263, 30.2652, -0.552158, 1.19552, -16.7419, 0.338988, 3.8824, -1.10394, -2.17318, -1.14227, -2.0198, -8.44739, -1.43441, 5.43592, 9.81517, 4.65454e-310, 0, 0, 30.2652, -0.552158, 1.19552, -16.7419, 0.169494, 1.9412, 0.169494, 0, 0, 6.9747, 0, 85.8947, 0, 0, 42.9639, 1.2836e-05, 0, 0, 0, 0, 0, 0, 0
0.00291051, -0.0563352, 0.641817, 0.0999936, -1.32415, 1.59061, -0.366454, 0.100035, 0.229979, 1, 0.229979, 1, 0.0297452, -0.000621963, 6.24005e-05, -0.00435509, 0.00435509, -6.92184e-18, 1.01261e-17, 0.0235679, -0.0141672, 0.000608692, -0.0142285, 0.000680012, -0.174046, 30.2644, -0.55258, 1.19479, -16.7449, 0.338455, 3.88439, -1.10035, -1.91126, -1.17529, -1.9747, -8.51058, -1.50007, 5.51915, 9.92275, 4.65454e-310, 0, 0, 30.2644, -0.55258, 1.19479, -16.7449, 0.169227, 1.9422, 0.169227, 0, 0, 6.96952, 0, 85.8847, 0, 0, 42.9577, 1.18959e-05, 0, 0, 0, 0, 0, 0, 0
0.00327432, -0.0563354, 0.641817, 0.0999919, -1.32414, 1.59061, -0.366454, 0.100044, 0.229974, 1, 0.229974, 1, 0.029678, -0.000696973, 6.99249e-05, -0.00488032, 0.00488032, -4.98181e-18, 1.84163e-17, 0.0264554, -0.015965, 0.000676743, -0.016034, 0.00075693, -0.195363, 30.2638, -0.553013, 1.19408, -16.7481, 0.337897, 3.88641, -1.09672, -1.64934, -1.20832, -1.92961, -8.57377, -1.56572, 5.60239, 10.0303, 4.65454e-310, 0, 0, 30.2638, -0.553013, 1.19408, -16.7481, 0.168948, 1.94321, 0.168948, 0, 0, 6.96449, 0, 85.875, 0, 0, 42.9516, 1.09535e-05, 0, 0, 0, 0, 0, 0, 0
